Indicadores municipales de sostenibilidad: Hombres beneficiarios de Renta de Garantía de Ingresos (? hombres);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
Araba/Álava;;25,91;23,37;24,02;23,88;22,22;23,42;26,33;29,52;30,17;31,25
Bizkaia;;25,10;22,56;23,80;24,36;23,69;25,62;28,35;30,13;30,47;30,12
CAE;;22,43;20,07;21,06;21,47;20,45;22,01;24,50;26,36;26,52;26,48
Gipuzkoa;;16,62;14,62;15,41;15,84;14,57;15,72;17,59;18,98;18,61;18,54
"";;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
01100;Arabako Ibarrak / Valles Alaveses;17,21;13,83;14,69;13,46;12,22;11,65;12,33;13,57;13,20;14,35
01200;Arabako Lautada / Llanada Alavesa;27,92;25,23;25,61;25,27;23,58;24,65;28,04;31,86;32,69;33,81
01300;Arabako Mendialdea / Montaña Alavesa;10,09;10,11;10,08;10,18;7,08;8,96;7,75;13,14;14,42;12,52
48100;Arratia Nerbioi / Arratia-Nervión;18,39;17,54;18,29;18,20;16,20;16,39;19,59;20,71;22,55;21,26
20200;Bidasoa Beherea / Bajo Bidasoa;16,59;14,31;15,76;15,84;13,96;14,05;16,14;17,17;17,08;16,35
48200;Bilbo Handia / Gran Bilbao;27,44;24,56;26,02;26,56;25,90;28,07;30,98;32,75;32,79;32,44
20100;Deba Beherea / Bajo Deba;24,43;21,13;22,96;25,46;23,26;24,56;27,11;29,98;29,88;28,24
20300;Debagoiena / Alto Deba;15,54;13,63;13,03;11,69;10,76;13,54;15,88;17,21;16,13;16,52
20400;Donostialdea / Donostia-San Sebastián;17,13;15,22;16,00;16,25;15,08;16,24;18,40;19,54;19,08;19,27
48300;Durangaldea / Duranguesado;16,11;14,82;15,55;15,99;14,65;15,23;18,41;19,87;20,64;19,35
48400;Enkartazioak / Encartaciones;30,25;27,63;28,75;30,26;29,23;33,03;34,26;36,53;36,75;34,87
01400;Errioxa Arabarra / Rioja Alavesa;25,83;24,87;27,98;30,09;26,47;31,98;33,23;31,26;27,83;28,78
48500;Gernika-Bermeo;18,08;16,50;16,36;16,95;17,85;18,95;19,88;21,59;23,85;25,30
20500;Goierri;15,00;13,05;14,19;13,58;12,33;12,89;13,14;14,25;13,41;13,95
01500;Gorbeia Inguruak / Estribaciones del Gorbea;14,18;14,70;15,15;13,56;12,54;13,63;12,80;14,16;10,56;9,91
01600;Kantauri Arabarra / Cantábrica Alavesa;17,19;14,36;16,29;17,51;16,43;17,55;19,39;20,42;22,40;24,13
48600;Markina-Ondarroa;16,24;15,65;16,90;16,21;15,76;19,12;19,18;23,40;27,66;27,42
48700;Plentzia-Mungia;17,05;14,80;15,11;16,29;15,80;16,42;18,98;20,12;19,95;20,74
20600;Tolosaldea / Tolosa;14,44;12,84;13,73;15,07;14,39;15,79;16,99;19,12;20,37;19,46
20700;Urola-Kostaldea / Urola Costa;12,75;11,29;11,45;13,26;12,07;13,13;14,68;16,22;15,69;15,92
"";;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
48001;Abadiño;13,31;11,22;13,37;14,27;13,40;10,96;12,12;15,33;14,42;14,24
20001;Abaltzisketa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48002;Abanto y Ciérvana-Abanto Zierbena;24,22;22,18;23,61;28,32;26,77;27,76;35,18;37,70;34,28;36,64
20002;Aduna;3,83;0,00;0,00;0,00;0,00;0,00;3,83;7,60;11,95;16,06
20016;Aia;4,50;3,61;3,69;6,55;9,48;11,24;9,33;9,21;9,29;9,31
20003;Aizarnazabal;18,32;13,37;8,00;18,13;15,38;28,42;28,28;22,73;26,32;29,02
48911;Ajangiz;12,40;8,23;4,10;4,07;4,52;4,41;4,35;8,62;8,40;8,66
20004;Albiztur;12,66;12,66;6,58;6,76;13,51;6,62;6,54;6,49;12,35;12,90
20005;Alegia;20,49;21,94;22,34;25,29;27,99;29,64;25,36;28,67;28,67;29,44
01001;Alegría-Dulantzi;28,96;28,78;28,36;28,04;18,58;13,95;17,08;19,72;29,85;21,13
20006;Alkiza;0,00;0,00;23,26;11,63;5,59;11,30;5,46;5,49;11,30;5,43
48912;Alonsotegi;34,64;32,30;33,86;36,34;34,84;39,82;42,87;44,51;41,45;35,35
20906;Altzaga;0,00;0,00;0,00;0,00;0,00;0,00;11,36;11,36;11,90;11,49
20007;Altzo;19,23;28,71;20,30;24,75;25,64;27,03;33,15;39,33;27,03;16,67
20008;Amezketa;19,03;18,95;18,67;18,79;16,70;12,61;4,11;6,19;8,32;8,28
48003;Amorebieta-Etxano;14,10;12,27;13,13;14,16;12,44;13,09;16,49;20,27;21,89;20,79
48004;Amoroto;14,42;14,71;14,78;9,35;9,76;9,85;9,48;9,43;14,08;14,35
01002;Amurrio;18,01;14,97;17,97;19,61;18,31;18,50;21,73;22,74;23,61;26,92
20009;Andoain;17,23;14,62;14,13;13,78;12,94;12,88;16,97;18,53;18,20;19,74
20010;Anoeta;7,38;5,51;8,32;8,28;4,76;9,42;14,59;15,66;17,37;13,83
20011;Antzuola;12,32;10,34;11,31;4,68;3,67;3,66;4,52;5,41;8,95;13,31
48005;Arakaldo;12,66;12,66;25,32;37,04;24,10;36,59;0,00;0,00;0,00;25,32
20012;Arama;0,00;10,87;0,00;0,00;0,00;0,00;0,00;0,00;9,62;0,00
01003;Aramaio;10,97;13,33;7,89;11,60;9,15;7,67;7,59;12,64;12,52;9,91
48006;Arantzazu;13,70;9,17;13,76;18,69;14,93;10,36;15,79;10,36;10,58;15,46
48093;Areatza;24,23;20,30;8,40;11,63;10,00;16,86;23,53;27,44;29,98;21,43
20013;Aretxabaleta;14,29;10,93;8,45;7,29;7,25;8,94;8,81;10,52;11,66;9,33
01006;Armiñón;7,94;8,33;16,81;17,24;18,52;18,52;28,57;26,55;16,95;16,95
01037;Arraia-Maeztu;13,33;9,03;9,13;6,83;2,42;4,93;5,03;19,90;17,41;12,59
48009;Arrankudiaga;9,78;7,89;9,86;10,10;9,92;7,81;5,89;9,84;8,02;2,03
20055;Arrasate/Mondragón;20,85;19,49;19,62;17,86;16,78;20,73;23,33;25,20;22,76;22,37
48914;Arratzu;0,00;0,00;0,00;0,00;5,08;4,98;10,05;5,05;10,20;15,08
01008;Arratzua-Ubarrundia;1,76;1,74;0,00;0,00;0,00;3,57;5,30;3,57;7,26;10,64
48010;Arrieta;20,41;16,95;10,24;10,34;10,60;10,38;7,14;7,17;3,53;3,48
48011;Arrigorriaga;21,30;18,65;16,79;17,40;16,60;15,97;19,86;21,98;24,19;21,66
48023;Artea;13,05;12,95;7,98;10,55;10,70;10,84;13,62;8,22;10,87;15,71
48008;Artzentales;26,60;29,57;19,07;32,17;34,78;44,08;48,13;50,40;51,15;47,37
01004;Artziniega;19,15;16,29;19,65;24,07;22,22;25,08;19,73;23,33;21,76;21,81
01009;Asparrena;17,18;18,47;15,76;18,05;12,27;13,58;17,16;19,88;31,75;32,57
20014;Asteasu;8,82;7,71;7,65;10,24;11,45;12,58;12,67;16,58;17,90;16,19
20903;Astigarraga;7,26;6,80;7,59;9,21;8,64;11,65;13,40;12,16;11,32;7,89
20015;Ataun;10,03;7,87;13,99;13,65;12,15;11,03;13,45;14,46;15,78;13,76
48091;Atxondo;20,65;20,56;11,61;8,73;8,67;8,57;8,38;7,01;11,63;10,23
48070;Aulesti;12,54;15,48;12,42;12,62;12,23;9,15;15,43;12,08;9,20;6,10
01010;Ayala/Aiara;14,42;11,07;9,70;13,63;9,70;12,48;13,84;11,78;13,79;13,99
20017;Azkoitia;19,37;17,63;17,77;18,03;16,96;17,77;20,97;22,54;22,78;20,68
20018;Azpeitia;16,70;13,70;15,13;17,83;15,38;16,19;17,41;19,92;19,48;19,94
01049;Añana;20,20;0,00;9,09;9,43;19,80;9,35;0,00;10,42;10,53;10,64
48012;Bakio;25,79;21,55;17,86;22,94;22,73;28,01;30,70;30,82;25,93;28,96
20904;Baliarrain;11,76;12,20;0,00;23,81;11,11;12,50;12,35;0,00;0,00;0,00
48090;Balmaseda;38,41;36,50;35,31;36,27;33,55;35,39;34,35;38,69;38,42;39,16
48013;Barakaldo;22,02;20,05;22,17;24,10;23,78;25,68;30,30;31,69;31,84;31,19
48014;Barrika;20,71;21,01;18,38;19,51;19,85;17,77;16,33;15,13;14,01;15,44
01013;Barrundia;1,93;1,93;3,81;3,84;3,85;3,77;5,62;5,58;11,34;11,39
48015;Basauri;23,59;21,61;23,56;23,39;20,31;22,46;25,24;27,07;27,38;27,57
01011;Baños de Ebro/Mañueta;10,75;11,05;10,93;17,54;16,22;16,30;5,68;11,30;5,85;5,85
20019;Beasain;13,30;10,21;10,08;11,76;9,96;10,97;10,18;12,83;11,40;11,90
48092;Bedia;22,56;31,54;22,81;17,54;24,74;34,76;27,03;25,05;24,59;22,73
20020;Beizama;0,00;0,00;12,66;12,66;0,00;0,00;11,90;11,76;0,00;0,00
20021;Belauntza;0,00;0,00;0,00;0,00;7,04;7,46;0,00;21,58;14,18;20,69
48016;Berango;9,01;7,31;7,39;9,96;10,22;8,53;9,18;12,44;9,85;10,77
01014;Berantevilla;0,00;0,00;3,75;7,55;7,66;7,60;11,49;15,50;7,97;16,00
20022;Berastegi;1,80;0,00;0,00;3,70;1,85;0,00;0,00;1,84;1,81;5,52
20074;Bergara;13,53;12,42;11,56;10,94;8,95;12,71;16,60;16,86;15,99;16,28
48017;Bermeo;25,74;23,48;23,50;24,99;25,04;26,84;26,77;27,05;29,72;30,70
01016;Bernedo;6,10;12,12;12,16;9,32;0,00;9,68;12,82;6,39;9,68;12,50
48018;Berriatua;5,96;3,04;6,03;7,49;7,31;23,43;21,90;25,37;36,81;27,36
48019;Berriz;11,82;10,18;12,78;12,30;13,23;14,90;22,56;22,52;21,55;22,06
20023;Berrobi;30,72;19,29;25,89;32,05;25,24;28,66;31,65;28,30;28,66;16,08
20024;Bidania-Goiatz;14,76;14,60;17,86;21,28;17,30;13,79;14,13;10,53;10,95;10,79
48020;Bilbao;36,92;33,16;35,02;35,02;33,68;37,01;40,45;42,60;42,22;41,39
48021;Busturia;20,94;20,88;17,11;16,01;19,95;21,46;17,09;20,46;25,55;26,44
01017;Campezo/Kanpezu;13,51;11,82;15,08;11,95;5,29;5,29;1,75;5,36;7,18;8,90
20029;Deba;7,55;7,18;9,06;10,04;9,89;14,64;13,55;14,60;13,23;14,33
48901;Derio;9,36;7,28;7,25;9,33;10,72;13,09;12,27;12,36;9,80;11,26
48026;Dima;11,55;11,72;18,62;13,21;11,07;15,15;16,37;14,91;15,94;12,13
20069;Donostia / San Sebastián;16,57;15,01;15,73;15,99;14,66;15,85;17,88;18,56;17,18;18,01
48027;Durango;15,10;12,75;15,07;15,58;14,12;14,91;17,20;18,36;18,94;17,85
48028;Ea;35,48;29,21;29,02;27,03;29,35;20,13;20,55;16,13;16,20;18,43
20030;Eibar;31,01;28,76;29,03;30,66;27,85;28,90;33,54;35,25;32,66;29,13
48031;Elantxobe;0,00;11,63;17,54;23,53;21,74;16,39;33,52;27,62;27,47;37,23
01021;Elburgo/Burgelu;5,71;5,83;0,00;0,00;0,00;2,93;0,00;2,92;0,00;9,04
01022;Elciego;12,07;9,82;17,79;15,53;9,90;17,75;17,41;21,36;19,69;23,64
20031;Elduain;0,00;0,00;8,26;16,53;16,26;15,87;7,94;7,94;8,00;7,81
20033;Elgeta;7,16;8,98;5,36;8,68;6,75;6,64;11,76;16,86;17,79;26,93
20032;Elgoibar;19,15;14,60;16,26;19,85;16,97;19,14;21,43;23,06;26,91;27,55
48032;Elorrio;8,36;8,85;9,12;8,70;9,85;11,72;11,75;10,90;12,58;8,53
01023;Elvillar/Bilar;19,48;6,29;12,50;11,90;5,85;11,70;16,76;11,24;17,75;11,83
48902;Erandio;20,04;18,09;20,59;23,65;21,94;24,16;25,61;25,13;31,68;29,27
48033;Ereño;12,66;12,66;0,00;0,00;0,00;0,00;0,00;7,46;7,09;7,41
48034;Ermua;22,62;22,32;21,16;22,20;19,00;19,33;25,26;25,73;28,11;24,20
20067;Errenteria;19,57;17,24;18,93;20,00;18,69;19,95;22,27;24,10;25,26;24,42
20066;Errezil;12,20;9,26;6,33;3,12;2,92;5,83;8,62;8,65;8,90;21,60
01046;Erriberagoitia/Ribera Alta;13,65;13,83;12,12;10,22;2,08;4,16;4,23;4,28;8,71;6,28
48079;Errigoiti;10,68;7,07;3,58;7,35;11,36;7,52;14,71;10,95;10,68;10,87
20034;Eskoriatza;16,81;12,29;15,78;11,49;12,65;14,67;16,95;19,74;14,88;17,66
48029;Etxebarri;9,40;8,50;9,13;10,08;8,95;11,32;12,11;12,74;12,98;15,14
48030;Etxebarria;26,16;23,05;30,90;25,14;19,23;30,30;33,99;28,65;37,57;36,52
20035;Ezkio-Itsaso;9,23;9,09;5,92;5,90;11,59;11,43;8,77;8,96;6,10;9,12
48906;Forua;6,47;8,87;13,30;24,23;31,60;24,55;19,78;26,37;27,78;29,29
48035;Fruiz;18,45;14,93;11,28;18,66;14,55;22,22;18,66;18,38;7,30;7,27
20038;Gabiria;3,22;3,34;0,00;3,32;3,40;0,00;0,00;0,00;0,00;0,00
20037;Gaintza;0,00;0,00;0,00;0,00;0,00;0,00;14,08;14,29;0,00;0,00
48036;Galdakao;9,30;6,10;7,14;7,85;7,55;7,52;9,39;9,40;9,78;10,67
48037;Galdames;27,52;22,57;20,27;22,42;22,83;30,09;34,48;32,41;29,82;25,29
48038;Gamiz-Fika;21,83;14,41;13,01;14,51;16,59;24,32;25,88;13,60;20,99;21,15
48039;Garai;6,10;6,33;6,25;12,50;12,90;6,33;6,41;6,49;6,45;6,37
48040;Gatika;8,53;7,43;7,31;8,37;6,09;10,87;14,49;13,24;13,30;11,98
