Indicadores municipales de sostenibilidad: Hombres beneficiarios de Renta de Garantía de Ingresos (? hombres);;;;;;;;;;;
48041;Gautegiz Arteaga;10,85;8,71;11,16;13,61;18,39;11,36;11,31;13,79;13,86;13,79
20907;Gaztelu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48046;Gernika-Lumo;14,42;12,80;12,12;11,80;13,03;14,97;16,73;20,61;22,98;24,26
20039;Getaria;7,44;7,59;8,33;12,61;9,89;13,31;16,88;14,31;10,65;15,84
48044;Getxo;16,30;14,44;14,02;13,49;13,80;13,80;13,99;14,49;16,86;16,70
48047;Gizaburuaga;26,32;9,01;9,62;0,00;9,43;18,02;8,62;17,54;26,32;35,71
48042;Gordexola;11,49;12,60;15,84;19,10;17,90;20,07;19,32;19,25;22,78;23,95
48043;Gorliz;18,16;15,80;16,81;17,21;16,25;15,87;20,79;23,91;22,95;23,42
48045;Güeñes;25,39;24,31;29,17;27,07;28,27;34,33;35,54;39,67;38,19;36,63
01056;Harana/Valle de Arana;0,00;0,00;0,00;7,46;14,81;21,90;21,13;34,72;35,46;27,78
20040;Hernani;20,23;16,91;16,54;16,34;16,38;17,38;20,91;21,05;22,30;21,57
20041;Hernialde;0,00;0,00;0,00;0,00;0,00;0,00;6,25;6,41;6,21;18,07
20036;Hondarribia;8,75;7,24;7,70;9,49;7,84;8,96;10,64;11,21;11,08;11,87
20042;Ibarra;13,49;10,50;13,33;13,50;12,26;11,40;15,72;16,75;19,22;18,34
48048;Ibarrangelu;11,08;13,70;14,12;11,43;9,40;9,38;12,27;12,12;12,16;15,43
20043;Idiazabal;5,98;5,98;6,73;9,24;5,85;4,15;4,16;5,85;7,61;8,42
48094;Igorre;18,89;20,27;21,03;18,28;14,65;13,85;20,00;20,67;20,65;22,42
20044;Ikaztegieta;23,72;24,79;24,10;16,19;27,67;27,13;19,69;19,76;20,08;23,81
20045;Irun;18,83;16,34;18,09;17,65;15,72;15,51;17,75;18,91;18,83;17,65
20046;Irura;16,72;14,64;9,28;11,42;6,31;12,79;17,04;21,67;18,64;13,76
01027;Iruraiz-Gauna;6,15;6,21;6,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01901;Iruña Oka/Iruña de Oca;12,93;11,83;14,24;14,02;13,43;12,14;10,73;10,94;10,51;9,54
48049;Ispaster;10,70;13,12;15,58;12,66;17,68;17,77;20,67;18,28;20,83;13,51
20047;Itsasondo;46,65;32,35;30,03;32,26;19,34;27,93;23,32;23,95;24,46;20,90
48910;Iurreta;21,53;21,73;22,08;22,18;17,43;17,85;26,68;24,89;25,92;29,09
48050;Izurtza;19,23;6,58;29,63;31,85;27,32;27,47;28,09;25,00;27,59;20,41
48022;Karrantza Harana/Valle de Carranza;40,70;37,59;39,15;37,47;39,38;42,39;44,16;46,64;46,58;39,44
48907;Kortezubi;0,00;0,00;0,00;0,00;4,67;9,17;9,17;9,30;9,01;21,83
01019;Kripan;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01020;Kuartango;9,13;4,52;13,10;13,22;13,89;9,52;9,39;4,74;9,62;0,00
01028;Labastida/Bastida;37,56;40,60;32,61;31,36;30,19;31,41;27,06;24,77;24,48;27,06
01030;Lagrán;10,20;20,20;9,80;29,41;21,05;10,99;0,00;10,75;32,97;11,49
01031;Laguardia;10,50;15,38;19,28;15,93;15,85;20,68;22,84;20,73;22,00;16,85
01032;Lanciego/Lantziego;38,96;33,42;34,65;43,37;34,31;47,00;44,20;47,35;36,41;36,21
48051;Lanestosa;35,97;27,78;26,14;39,22;32,89;38,71;52,98;45,45;59,60;33,33
01902;Lantarón;17,54;12,48;9,01;9,17;9,47;9,38;5,68;11,41;9,75;15,27
01033;Lapuebla de Labarca;33,86;38,20;39,82;33,71;33,19;37,36;37,53;30,37;13,10;13,13
48052;Larrabetzu;17,84;13,65;12,75;12,61;8,08;10,10;17,17;16,23;19,06;14,04
20048;Larraul;6,94;6,85;27,03;13,33;0,00;0,00;0,00;0,00;0,00;0,00
20902;Lasarte-Oria;13,90;11,77;12,27;11,21;10,41;9,87;12,42;16,56;18,45;17,60
01036;Laudio/Llodio;17,60;15,14;16,38;16,81;16,59;17,69;19,69;20,70;23,37;24,78
48053;Laukiz;3,32;8,39;5,01;6,69;7,02;8,80;10,66;5,32;6,83;3,49
20049;Lazkao;7,87;6,21;9,03;5,88;3,19;3,60;6,95;4,03;6,96;8,91
20050;Leaburu;25,13;14,78;10,31;20,51;20,10;10,31;15,79;26,74;26,88;31,25
20051;Legazpi;15,42;11,28;12,46;12,37;11,08;12,23;11,72;12,13;10,25;11,38
20052;Legorreta;15,71;12,95;17,33;10,57;7,79;9,15;12,87;11,58;5,29;11,90
01058;Legutio;24,16;27,33;28,30;23,99;22,94;26,57;28,91;26,70;17,58;14,46
20068;Leintz-Gatzaga;0,00;0,00;0,00;15,15;7,81;7,52;7,35;15,04;7,30;7,19
48054;Leioa;18,73;17,91;17,85;18,03;17,30;17,78;18,59;20,51;21,52;22,72
48057;Lekeitio;12,24;13,41;14,45;13,20;14,83;16,21;14,61;16,85;18,33;19,98
48055;Lemoa;21,89;21,06;16,68;16,88;18,69;20,93;24,04;26,91;22,78;22,19
48056;Lemoiz;22,44;17,09;11,41;15,87;14,86;15,06;13,47;19,52;16,57;21,51
01034;Leza;18,35;26,55;27,03;27,27;27,03;28,57;47,17;27,27;38,10;18,02
48081;Lezama;6,76;5,92;7,54;8,45;6,79;9,51;11,15;10,40;10,42;9,57
20053;Lezo;12,80;11,11;11,71;12,27;12,12;12,46;12,65;16,61;17,44;18,60
20054;Lizartza;5,57;11,40;11,63;11,63;8,72;8,77;5,88;5,87;5,83;11,17
48903;Loiu;11,37;10,09;10,85;8,47;7,64;5,00;7,71;7,91;7,04;10,43
48058;Mallabia;11,97;8,53;13,40;13,51;9,87;10,02;11,80;18,49;13,58;18,12
48060;Markina-Xemein;17,21;15,34;19,13;20,65;18,37;23,20;25,09;34,82;39,79;39,86
48061;Maruri-Jatabe;1,87;0,00;1,98;0,00;2,15;4,22;10,66;6,32;8,25;8,26
48059;Mañaria;13,94;10,87;7,30;11,41;11,58;11,41;14,81;10,95;10,91;10,87
20901;Mendaro;17,48;13,49;19,69;18,61;15,96;13,10;15,71;19,46;20,19;17,37
48062;Mendata;0,00;4,98;4,83;14,71;4,61;0,00;4,72;4,72;0,00;4,98
48063;Mendexa;8,47;8,55;8,47;13,04;8,55;8,33;20,66;37,50;33,33;36,89
48064;Meñaka;10,13;7,63;7,73;10,39;10,96;10,90;16,30;13,59;7,98;19,02
01039;Moreda de Álava / Moreda Araba;21,13;21,58;14,18;21,74;14,18;20,98;20,27;13,79;7,19;14,18
48066;Morga;13,95;23,15;9,26;9,48;10,15;10,10;9,80;14,78;9,39;9,09
48068;Mundaka;10,07;9,91;11,01;6,66;8,03;14,76;17,32;17,22;22,75;27,81
48069;Mungia;19,96;16,18;17,54;19,78;18,74;20,45;22,61;24,62;23,85;23,99
48007;Munitibar-Arbatzegi Gerrikaitz-;23,08;24,00;19,76;15,38;11,58;31,13;24,29;40,16;27,78;28,00
48908;Murueta;6,25;5,88;11,98;12,50;0,00;0,00;0,00;0,00;0,00;6,62
48071;Muskiz;19,31;17,77;19,83;22,28;24,90;25,06;30,47;31,16;30,39;31,10
20057;Mutiloa;0,00;0,00;0,00;0,00;7,25;7,30;0,00;7,09;7,35;0,00
20056;Mutriku;15,29;12,19;14,49;16,83;19,78;18,87;20,22;27,26;30,77;30,44
48067;Muxika;11,04;7,54;11,69;11,57;11,70;10,62;17,17;16,60;17,83;16,30
48909;Nabarniz;15,62;15,87;25,00;24,79;18,18;17,54;8,55;8,33;8,00;8,62
01041;Navaridas;7,58;7,75;0,00;0,00;0,00;8,40;0,00;6,58;6,45;6,41
20063;Oiartzun;12,68;10,02;11,57;10,33;8,49;8,48;8,64;9,46;10,15;12,27
01042;Okondo;8,12;3,24;11,36;9,71;6,18;7,92;8,03;12,84;19,54;18,30
20058;Olaberria;8,15;6,22;8,30;8,18;6,32;6,37;8,55;10,62;8,06;14,29
48073;Ondarroa;20,22;19,61;19,16;18,65;17,13;19,10;19,02;22,58;29,80;29,26
20076;Ordizia;21,73;20,21;21,07;18,66;16,70;19,99;17,28;19,15;17,16;18,12
20905;Orendain;0,00;0,00;0,00;0,00;0,00;10,10;0,00;10,42;20,00;20,62
20060;Orexa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20061;Orio;13,14;12,98;13,41;16,32;14,23;15,42;17,51;18,35;15,79;16,21
20062;Ormaiztegi;15,75;14,52;19,39;11,27;17,32;23,26;19,55;19,70;16,82;18,40
48075;Orozko;12,37;13,27;13,95;17,80;15,37;14,76;14,75;16,25;19,22;20,75
48083;Ortuella;23,48;18,99;17,51;16,15;21,11;24,75;27,83;30,85;30,85;33,60
48072;Otxandio;20,56;15,02;14,84;18,92;14,64;13,39;22,83;18,10;21,47;18,52
01043;Oyón-Oion;33,11;28,82;38,91;44,73;40,11;48,51;55,77;53,17;50,17;53,42
20059;Oñati;10,11;7,77;5,83;5,38;4,98;6,07;7,35;7,85;8,26;9,38
20064;Pasaia;28,34;26,61;28,14;28,43;26,93;32,85;34,17;36,06;34,93;32,59
01044;Peñacerrada-Urizaharra;5,24;5,29;0,00;5,41;23,81;18,29;18,40;18,52;12,27;11,98
48077;Plentzia;14,70;16,66;17,91;17,28;19,61;21,11;26,56;25,40;25,82;27,49
48078;Portugalete;23,77;20,74;21,89;23,60;21,82;23,58;26,38;28,07;26,42;29,31
01047;Ribera Baja/Erribera Beitia;19,37;12,14;11,96;13,30;8,26;7,33;9,57;8,47;11,22;16,25
01051;Salvatierra/Agurain;23,27;25,33;24,13;28,07;18,18;18,60;18,45;28,07;46,49;44,07
01052;Samaniego;13,79;6,58;13,33;20,83;0,00;0,00;0,00;0,00;0,00;0,00
01053;San Millán/Donemiliaga;2,56;5,06;7,52;7,46;7,33;11,99;12,05;7,19;7,21;4,83
48082;Santurtzi;31,14;28,66;32,13;32,33;32,62;34,88;35,40;37,60;36,67;36,55
20070;Segura;5,30;4,05;4,04;8,09;6,48;6,48;11,94;15,83;16,97;15,71
48084;Sestao;38,75;34,52;35,65;36,82;40,75;43,21;49,39;56,13;53,01;50,52
48904;Sondika;13,73;14,47;15,26;13,36;13,38;15,89;13,53;13,57;16,86;13,51
48085;Sopela;16,74;14,19;15,05;14,70;14,39;11,57;13,36;16,03;17,40;18,02
48086;Sopuerta;18,04;17,58;19,53;22,38;19,97;21,33;23,94;22,73;20,90;26,09
20065;Soraluze-Placencia de las Armas;34,99;24,48;34,03;43,05;37,41;38,93;35,41;45,68;46,96;46,31
48076;Sukarrieta;21,28;15,54;20,00;20,73;23,81;23,81;16,95;21,86;27,03;21,39
20071;Tolosa;14,11;12,72;12,24;13,83;14,59;17,00;17,72;20,67;22,72;22,06
48087;Trucios-Turtzioz;37,31;36,90;26,22;26,82;26,62;30,53;22,30;22,64;34,22;33,09
48088;Ubide;0,00;0,00;10,64;21,51;10,00;10,53;29,41;30,00;41,67;31,25
48065;Ugao-Miraballes;17,61;16,73;15,37;16,92;16,86;16,25;17,02;22,28;24,26;19,87
48089;Urduliz;10,46;10,87;11,61;12,12;9,61;9,56;12,46;14,50;16,38;17,25
48074;Urduña/Orduña;26,98;26,74;30,18;28,44;26,16;25,78;29,86;32,21;34,84;34,21
01054;Urkabustaiz;24,17;21,88;27,70;27,74;26,14;29,02;20,46;23,04;16,51;15,49
20072;Urnieta;14,49;12,33;13,29;13,25;11,94;9,10;11,06;12,92;10,03;9,73
20077;Urretxu;13,43;14,03;14,64;13,07;13,17;12,05;17,38;17,84;15,06;16,74
20073;Usurbil;14,52;11,31;12,57;14,25;12,19;12,16;14,97;14,67;17,42;16,16
01055;Valdegovía/Gaubea;28,85;27,07;31,75;24,59;24,10;25,30;27,30;30,46;23,77;20,51
48080;Valle de Trápaga-Trapagaran;18,89;15,89;18,06;17,85;18,61;22,23;28,10;27,89;27,53;24,97
20075;Villabona;21,13;20,10;23,06;26,04;21,12;23,50;27,22;29,46;30,00;25,24
01057;Villabuena de Álava/Eskuernaga;12,74;6,62;19,23;13,33;13,89;13,16;6,54;13,16;13,51;24,84
01059;Vitoria-Gasteiz;28,77;25,83;26,27;25,82;24,39;25,56;29,17;33,01;33,25;34,59
01060;Yécora/Iekora;39,74;36,50;14,93;42,25;34,01;35,46;28,78;21,74;0,00;6,85
48095;Zaldibar;21,83;23,09;23,76;21,78;20,21;18,89;19,39;22,14;22,21;24,44
20078;Zaldibia;18,02;13,59;17,61;11,95;10,74;14,53;18,05;20,73;23,11;13,29
01061;Zalduondo;9,09;9,01;9,35;9,35;9,52;9,80;9,71;18,87;18,52;18,02
48096;Zalla;31,16;25,12;26,76;30,35;27,99;32,23;34,96;36,38;37,38;33,12
01062;Zambrana;16,67;21,65;13,04;8,62;21,65;17,09;17,78;13,22;17,94;18,02
48905;Zamudio;16,54;14,92;15,67;16,20;14,54;17,81;20,48;20,41;18,06;16,82
48097;Zaratamo;7,53;8,86;8,85;7,48;9,99;14,93;18,80;20,00;22,96;20,18
20079;Zarautz;7,89;6,35;6,00;7,02;6,00;6,26;7,18;8,88;8,64;10,77
48024;Zeanuri;9,77;9,76;9,65;8,12;4,61;7,63;12,46;6,24;6,34;6,34
48025;Zeberio;28,20;20,68;24,39;16,45;20,33;18,73;21,11;24,71;30,02;26,82
20025;Zegama;8,65;7,47;7,54;7,45;7,61;4,98;6,17;7,40;11,08;13,60
20026;Zerain;7,58;7,69;0,00;0,00;0,00;0,00;0,00;0,00;8,40;8,33
20027;Zestoa;21,78;21,51;19,50;23,27;22,59;24,46;25,25;29,85;29,52;23,04
48913;Zierbena;13,87;13,91;17,72;16,07;14,87;12,67;11,32;15,13;17,59;11,21
01018;Zigoitia;4,00;3,05;4,03;0,00;1,09;2,17;2,15;3,19;2,09;7,23
48915;Ziortza-Bolibar;21,55;13,51;17,70;8,81;17,09;12,61;8,13;8,23;4,10;8,06
20028;Zizurkil;19,22;13,04;16,32;17,62;20,42;17,86;18,13;17,38;22,51;22,97
01063;Zuia;9,40;9,54;9,63;8,11;6,57;6,56;7,36;9,01;7,24;5,56
20081;Zumaia;8,98;8,85;9,09;10,49;10,90;12,35;13,83;14,92;14,50;12,86
20080;Zumarraga;21,54;20,58;23,22;22,52;21,94;19,85;18,76;19,60;18,36;18,37
