Indicadores municipales de sostenibilidad: Mujeres beneficiarias de Renta de Garantía de Ingresos (? mujeres);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
Araba/Álava;;32,42;27,59;29,72;29,40;26,31;26,68;28,27;29,66;29,77;30,40
Bizkaia;;31,62;28,17;31,09;32,46;31,79;33,86;36,88;38,34;39,43;40,39
CAE;;28,32;24,78;26,98;28,25;27,01;28,42;30,72;32,12;32,90;33,77
Gipuzkoa;;21,11;18,01;19,11;20,92;19,60;20,41;21,87;23,12;23,71;24,48
"";;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
01100;Arabako Ibarrak / Valles Alaveses;15,28;13,38;14,35;12,98;11,41;11,26;11,63;13,62;14,60;15,53
01200;Arabako Lautada / Llanada Alavesa;34,62;29,62;31,74;31,21;27,79;28,16;29,79;31,54;31,55;31,96
01300;Arabako Mendialdea / Montaña Alavesa;13,12;9,11;9,60;10,62;12,05;11,24;14,23;15,73;14,43;12,01
48100;Arratia Nerbioi / Arratia-Nervión;24,70;21,77;22,99;24,85;23,74;26,58;28,08;28,59;28,44;27,80
20200;Bidasoa Beherea / Bajo Bidasoa;24,56;21,65;23,18;24,88;23,14;22,61;23,98;24,78;26,62;26,75
48200;Bilbo Handia / Gran Bilbao;34,57;30,79;34,03;35,47;34,67;36,85;40,18;41,78;42,73;43,96
20100;Deba Beherea / Bajo Deba;27,51;22,41;22,69;25,94;23,28;23,76;25,13;26,37;27,47;27,73
20300;Debagoiena / Alto Deba;18,88;15,52;15,31;14,15;13,29;15,92;16,24;17,10;16,92;16,72
20400;Donostialdea / Donostia-San Sebastián;22,36;19,35;20,83;22,78;21,42;22,26;24,28;25,96;26,01;27,06
48300;Durangaldea / Duranguesado;20,43;18,03;19,24;19,86;19,07;20,28;22,70;23,22;25,13;24,16
48400;Enkartazioak / Encartaciones;36,47;32,99;36,46;38,94;38,88;40,28;43,36;45,99;47,02;45,43
01400;Errioxa Arabarra / Rioja Alavesa;23,85;22,12;25,09;24,08;20,83;24,27;27,29;24,65;21,78;23,57
48500;Gernika-Bermeo;22,59;20,12;23,00;24,32;24,82;26,93;28,52;29,69;32,52;34,89
20500;Goierri;15,23;12,30;13,60;15,27;13,66;15,02;16,43;16,41;18,26;19,87
01500;Gorbeia Inguruak / Estribaciones del Gorbea;18,49;13,99;14,57;12,56;12,13;11,45;11,48;11,61;9,91;10,37
01600;Kantauri Arabarra / Cantábrica Alavesa;25,72;20,66;23,40;25,30;23,43;23,34;24,71;24,81;27,03;29,32
48600;Markina-Ondarroa;17,74;15,65;16,62;15,73;14,67;18,32;19,74;20,28;22,39;23,01
48700;Plentzia-Mungia;19,94;18,01;20,08;21,82;21,89;22,89;24,47;25,64;26,09;27,00
20600;Tolosaldea / Tolosa;17,59;15,03;16,53;19,40;19,96;19,18;19,20;20,91;22,52;22,65
20700;Urola-Kostaldea / Urola Costa;16,70;14,08;14,32;16,47;15,43;16,71;17,72;18,70;18,78;19,88
"";;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
48001;Abadiño;13,71;13,80;12,54;15,62;14,46;13,72;16,90;17,72;17,88;15,73
20001;Abaltzisketa;0,00;0,00;0,00;0,00;7,19;0,00;0,00;0,00;7,09;0,00
48002;Abanto y Ciérvana-Abanto Zierbena;31,14;24,78;25,24;28,67;26,91;29,84;35,38;39,45;39,84;43,98
20002;Aduna;8,51;4,18;4,35;8,81;4,46;4,50;13,70;22,94;23,36;9,26
20016;Aia;11,80;10,88;13,17;15,54;13,98;9,68;11,60;9,58;10,57;14,74
20003;Aizarnazabal;18,47;18,67;13,26;20,78;15,83;18,62;26,53;18,77;24,06;21,28
48911;Ajangiz;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,41;4,50
20004;Albiztur;6,62;6,58;0,00;0,00;0,00;0,00;0,00;0,00;6,80;0,00
20005;Alegia;21,52;16,28;19,93;21,91;26,47;26,19;22,43;25,91;28,14;25,67
01001;Alegría-Dulantzi;23,92;18,11;16,20;19,18;11,80;12,68;12,00;16,32;22,10;21,41
20006;Alkiza;17,24;16,85;11,70;17,05;23,39;23,67;23,39;23,95;17,75;30,12
48912;Alonsotegi;33,22;35,24;41,64;44,88;42,77;40,78;43,57;46,34;45,95;47,91
20906;Altzaga;12,20;11,63;11,11;0,00;0,00;0,00;0,00;31,25;11,24;10,99
20007;Altzo;0,00;0,00;0,00;5,15;10,26;5,49;5,65;17,05;5,78;17,65
20008;Amezketa;24,61;20,18;24,55;24,55;27,21;30,16;25,23;22,94;22,73;27,33
48003;Amorebieta-Etxano;24,21;19,12;19,43;21,30;20,84;21,43;23,53;25,43;26,79;25,72
48004;Amoroto;0,00;5,59;10,70;10,42;14,29;9,71;14,42;14,49;20,00;15,62
01002;Amurrio;26,67;20,96;22,47;24,94;24,95;25,93;27,19;26,25;28,51;29,90
20009;Andoain;24,14;20,96;22,10;22,64;21,49;20,29;22,65;24,46;24,96;24,75
20010;Anoeta;10,68;11,62;16,65;22,44;25,54;25,67;20,96;23,08;26,04;27,48
20011;Antzuola;13,84;10,17;10,24;4,64;3,67;4,51;3,60;2,72;3,62;8,06
48005;Arakaldo;10,42;10,10;11,11;11,24;22,99;11,76;33,71;34,48;23,26;35,71
20012;Arama;0,00;0,00;0,00;9,17;0,00;0,00;9,26;9,43;9,43;9,26
01003;Aramaio;2,91;1,44;2,83;4,17;4,20;4,14;6,84;8,25;6,88;10,77
48006;Arantzazu;10,05;10,31;4,95;9,85;10,70;16,30;16,85;22,10;15,87;21,05
48093;Areatza;16,74;17,16;29,69;30,49;31,75;35,37;38,28;37,10;41,47;43,83
20013;Aretxabaleta;15,94;13,63;15,27;15,48;13,73;14,77;16,26;15,62;12,96;14,54
01006;Armiñón;0,00;0,00;0,00;0,00;0,00;0,00;9,17;8,93;0,00;0,00
01037;Arraia-Maeztu;13,26;5,45;8,29;11,24;9,43;12,27;15,77;18,87;18,99;12,90
48009;Arrankudiaga;11,61;11,93;5,79;11,63;17,51;11,83;15,72;17,75;15,78;11,98
20055;Arrasate/Mondragón;25,36;19,78;19,44;19,57;17,80;23,48;23,67;23,54;24,79;22,86
48914;Arratzu;9,26;8,93;4,46;13,89;18,78;23,36;13,89;14,15;14,22;19,32
01008;Arratzua-Ubarrundia;3,90;1,99;1,99;4,08;8,62;4,24;4,27;4,27;4,22;8,30
48010;Arrieta;3,65;3,61;11,03;10,99;10,71;14,44;11,15;14,81;18,32;10,75
48011;Arrigorriaga;27,34;26,22;28,76;27,81;28,41;30,38;33,11;34,33;35,00;32,85
48023;Artea;18,67;18,57;15,96;13,51;14,41;22,66;25,50;22,66;16,30;21,22
48008;Artzentales;48,57;49,85;40,94;53,10;42,94;39,51;41,92;47,34;58,65;67,85
01004;Artziniega;29,68;23,83;32,73;29,54;18,63;24,87;26,80;24,08;24,52;25,89
01009;Asparrena;20,58;24,39;27,48;31,48;23,72;32,54;34,15;41,72;46,45;48,48
20014;Asteasu;10,75;9,51;14,84;17,64;14,21;13,25;13,48;17,91;21,10;21,13
20903;Astigarraga;11,69;9,70;11,67;14,41;14,17;13,92;13,62;14,12;14,49;16,80
20015;Ataun;7,23;4,90;8,56;9,66;7,13;10,74;10,83;10,94;12,36;13,72
48091;Atxondo;13,18;8,70;14,56;16,03;15,87;15,41;18,18;19,69;21,80;18,71
48070;Aulesti;6,21;3,05;6,10;6,21;8,80;8,90;8,88;8,80;9,17;15,34
01010;Ayala/Aiara;13,11;13,21;14,59;13,14;12,41;10,97;12,41;13,19;11,81;11,76
20017;Azkoitia;18,15;15,87;15,27;16,40;15,57;18,78;19,98;19,50;19,53;19,83
20018;Azpeitia;21,82;17,01;18,12;19,76;18,55;19,04;19,75;21,13;22,01;22,60
01049;Añana;29,41;28,57;29,41;28,99;25,64;25,32;24,10;24,10;12,99;26,67
48012;Bakio;25,84;23,17;22,63;27,42;30,60;27,31;25,46;26,44;28,79;29,09
20904;Baliarrain;13,51;13,89;14,08;28,17;40,00;28,17;28,99;29,41;15,15;14,93
48090;Balmaseda;48,17;43,59;45,23;46,68;46,17;48,19;52,04;51,93;55,43;53,64
48013;Barakaldo;29,29;25,74;29,88;31,09;30,65;31,93;35,33;37,64;41,78;42,82
48014;Barrika;12,85;15,54;12,99;16,88;22,07;20,27;21,65;17,45;21,91;17,77
01013;Barrundia;7,67;4,95;7,19;7,37;2,37;7,23;4,83;4,80;14,74;9,71
48015;Basauri;31,22;27,77;31,71;33,62;32,23;32,69;32,78;34,37;36,19;36,61
01011;Baños de Ebro/Mañueta;14,81;7,35;7,35;7,25;7,35;7,19;14,71;0,00;7,04;6,99
20019;Beasain;14,15;10,00;11,29;11,64;10,01;11,22;13,47;14,98;18,26;19,26
48092;Bedia;22,30;15,71;24,39;19,57;21,28;15,93;23,77;27,57;24,16;25,93
20020;Beizama;62,50;60,61;60,61;51,28;47,62;50,00;45,45;73,17;25,00;71,43
20021;Belauntza;20,27;13,79;21,90;15,15;16,81;8,06;16,95;25,86;35,09;17,09
48016;Berango;17,54;15,77;17,87;24,42;24,58;24,25;26,32;24,29;23,47;23,24
01014;Berantevilla;12,40;12,61;21,93;12,66;21,01;13,33;13,39;13,64;26,79;17,62
20022;Berastegi;3,77;1,92;3,76;3,75;3,92;3,91;5,85;7,71;5,85;3,97
20074;Bergara;18,00;15,38;16,00;13,24;13,51;15,01;15,59;17,11;16,22;16,63
48017;Bermeo;27,93;25,33;28,97;30,74;31,62;33,49;34,45;34,06;39,26;41,20
01016;Bernedo;17,78;9,22;8,44;13,64;14,02;4,83;13,76;9,01;9,76;4,57
48018;Berriatua;15,44;10,54;10,66;10,42;12,22;17,61;8,76;10,56;14,18;14,16
48019;Berriz;18,17;15,38;18,08;18,10;16,39;20,41;22,77;22,37;23,96;26,08
20023;Berrobi;10,87;10,56;10,38;10,31;10,14;16,72;13,29;26,85;28,07;27,49
20024;Bidania-Goiatz;15,33;18,87;16,00;11,76;11,07;14,98;15,38;19,46;20,83;16,19
48020;Bilbao;42,74;38,40;42,11;43,37;42,19;45,50;49,70;51,50;51,65;53,18
48021;Busturia;29,27;25,12;28,20;34,61;36,59;35,58;37,76;38,65;43,37;44,86
01017;Campezo/Kanpezu;16,98;15,33;15,12;11,70;16,19;18,04;20,04;20,28;18,18;17,96
20029;Deba;13,55;9,90;11,36;15,28;13,23;14,74;15,88;18,53;18,48;21,17
48901;Derio;13,52;12,56;14,38;11,95;10,01;10,78;13,04;15,04;12,61;16,84
48026;Dima;16,55;13,72;9,89;9,74;16,78;22,70;21,16;21,13;21,25;20,44
20069;Donostia / San Sebastián;21,97;18,91;19,83;22,31;21,40;22,66;24,35;25,90;25,12;26,58
48027;Durango;20,20;19,09;19,99;20,30;19,36;20,83;23,56;23,47;26,73;24,81
48028;Ea;16,63;9,69;7,46;10,03;12,72;17,46;19,32;24,33;31,10;36,06
20030;Eibar;31,33;25,93;26,42;30,17;26,85;26,30;27,24;28,09;27,89;28,88
48031;Elantxobe;44,69;43,96;50,00;56,82;52,02;50,28;54,95;75,68;68,42;76,53
01021;Elburgo/Burgelu;6,29;3,17;6,54;3,22;3,36;3,50;6,83;6,73;6,73;10,00
01022;Elciego;16,03;17,86;17,79;21,48;11,32;22,60;22,14;22,22;21,07;27,27
20031;Elduain;8,13;8,40;16,26;16,81;8,33;0,00;0,00;0,00;0,00;0,00
20033;Elgeta;14,57;14,84;7,39;7,34;5,58;3,72;9,17;14,63;11,17;9,17
20032;Elgoibar;24,55;19,66;21,22;21,41;20,09;20,90;23,72;25,31;27,44;25,65
48032;Elorrio;11,59;11,42;11,66;12,65;12,12;13,26;15,25;18,07;16,51;18,00
01023;Elvillar/Bilar;17,34;17,86;5,65;11,30;0,00;5,43;10,58;10,58;0,00;5,65
48902;Erandio;29,67;26,00;30,68;36,75;37,38;40,27;42,44;42,25;51,06;47,86
48033;Ereño;0,00;7,75;8,40;16,95;16,00;16,67;16,53;24,19;25,00;8,13
48034;Ermua;22,81;18,78;22,60;23,60;23,05;26,02;27,55;26,65;30,31;28,70
20067;Errenteria;24,42;21,66;25,92;26,76;25,64;25,75;28,97;30,58;31,79;32,24
20066;Errezil;11,54;11,45;3,95;3,77;10,75;10,53;10,49;10,68;11,07;10,83
01046;Erriberagoitia/Ribera Alta;7,94;10,75;2,68;12,85;8,60;11,27;8,47;11,24;19,23;23,56
48079;Errigoiti;21,93;22,22;26,43;13,95;17,70;13,76;9,05;9,01;13,95;9,35
20034;Eskoriatza;15,25;13,47;8,21;5,87;8,79;8,42;6,92;8,40;9,44;12,91
48029;Etxebarri;15,42;13,22;14,67;16,43;14,58;17,77;19,05;23,02;21,90;24,25
48030;Etxebarria;8,77;5,75;11,49;11,43;10,50;12,89;18,32;10,61;8,33;10,99
20035;Ezkio-Itsaso;0,00;0,00;0,00;0,00;0,00;3,40;10,10;6,78;13,61;13,47
48906;Forua;14,00;10,46;10,66;12,88;17,35;21,37;19,15;21,32;19,31;31,78
48035;Fruiz;19,67;10,56;10,64;21,43;28,17;21,98;17,92;14,34;14,65;17,99
20038;Gabiria;8,77;0,00;4,42;13,33;9,13;4,59;0,00;0,00;4,55;4,52
20037;Gaintza;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,61;0,00
48036;Galdakao;14,79;11,27;11,01;12,74;11,40;13,56;15,06;15,55;15,76;16,50
48037;Galdames;15,35;17,81;20,46;30,46;24,63;27,23;30,30;37,97;39,16;51,81
48038;Gamiz-Fika;8,72;8,65;7,22;11,61;14,33;18,16;15,38;16,90;10,01;11,71
48039;Garai;5,99;6,10;6,13;6,29;5,95;6,02;12,42;12,50;6,49;12,99
48040;Gatika;18,52;18,45;18,34;13,22;14,49;17,07;19,21;21,35;21,56;18,25
