Indicadores municipales de sostenibilidad: Tasa de afil.a la S.S. según Grupo Cotización:Oficiales de Producción (% sobre total personas afiliadas);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
Araba/Álava;;31,75;32,03;31,82;32,86;33,06;33,33;33,04;32,40;32,70;33,47;33,91;34,42
Bizkaia;;25,15;25,34;25,25;25,96;26,16;26,23;26,33;25,90;26,03;26,31;26,91;27,85
CAE;;27,83;28,04;27,99;28,87;29,06;29,19;29,13;28,81;28,88;29,25;29,77;30,57
Gipuzkoa;;30,14;30,36;30,46;31,50;31,70;31,84;31,68;31,69;31,57;31,90;32,39;33,13
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
01100;Arabako Ibarrak / Valles Alaveses;39,03;39,65;39,04;40,31;42,55;43,54;40,78;40,04;40,67;40,90;41,51;42,35
01200;Arabako Lautada / Llanada Alavesa;31,10;31,41;31,24;32,34;32,55;32,76;32,40;31,67;31,77;32,54;32,93;33,68
01300;Arabako Mendialdea / Montaña Alavesa;46,67;47,93;46,05;47,08;46,95;47,03;46,06;45,18;47,20;49,92;49,92;49,93
48100;Arratia Nerbioi / Arratia-Nervión;30,86;30,72;31,36;32,43;32,37;33,46;33,22;32,53;32,79;33,62;34,23;35,43
20200;Bidasoa Beherea / Bajo Bidasoa;29,13;28,70;28,86;29,71;29,75;29,67;29,14;28,86;28,26;28,49;29,06;29,61
48200;Bilbo Handia / Gran Bilbao;23,68;23,76;23,59;24,26;24,38;24,36;24,45;24,07;24,12;24,43;25,01;25,98
20100;Deba Beherea / Bajo Deba;35,94;36,39;36,73;37,82;37,98;38,50;38,82;39,01;39,45;40,07;40,57;41,09
20300;Debagoiena / Alto Deba;34,41;34,56;35,45;36,40;36,70;37,41;37,03;37,44;37,52;38,26;38,98;39,82
20400;Donostialdea / Donostia-San Sebastián;26,07;26,15;25,88;27,21;27,21;27,07;26,70;26,51;26,32;26,28;26,65;27,43
48300;Durangaldea / Duranguesado;36,15;36,54;37,01;37,86;38,39;38,77;38,78;38,12;38,82;39,18;39,96;40,74
48400;Enkartazioak / Encartaciones;32,83;32,40;32,16;33,17;33,35;33,16;33,40;31,18;31,05;31,35;32,00;33,57
01400;Errioxa Arabarra / Rioja Alavesa;32,13;28,42;28,02;28,51;27,63;27,88;27,76;27,86;30,06;29,65;27,67;21,52
48500;Gernika-Bermeo;23,85;23,81;23,54;24,70;25,21;25,69;25,98;26,74;26,53;26,67;27,34;27,87
20500;Goierri;36,73;37,50;37,99;38,57;39,66;40,25;40,65;40,70;40,62;41,38;41,83;42,80
01500;Gorbeia Inguruak / Estribaciones del Gorbea;28,99;29,07;27,97;29,08;29,44;28,92;29,69;29,81;31,64;31,71;32,10;32,20
01600;Kantauri Arabarra / Cantábrica Alavesa;35,81;36,51;36,41;37,10;37,13;37,90;38,19;38,04;39,04;39,83;41,10;41,98
48600;Markina-Ondarroa;30,36;31,32;31,37;31,20;31,82;32,80;33,27;33,13;33,58;32,78;34,40;34,89
48700;Plentzia-Mungia;20,78;21,41;21,21;22,21;22,39;22,38;22,55;21,99;22,61;22,80;23,13;24,03
20600;Tolosaldea / Tolosa;35,54;35,65;35,90;36,64;36,43;36,72;36,88;37,35;37,45;38,02;38,54;38,92
20700;Urola-Kostaldea / Urola Costa;32,86;33,16;33,53;34,32;34,76;34,99;35,29;35,71;35,79;36,83;37,78;38,90
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
48001;Abadiño;41,27;41,07;41,44;42,62;43,65;45,30;46,12;44,54;45,69;46,69;47,46;48,18
20001;Abaltzisketa;40,54;46,30;46,23;47,32;47,96;51,96;52,04;57,58;57,89;58,25;54,29;52,73
48002;Abanto y Ciérvana-Abanto Zierbena;32,27;32,81;31,70;32,64;33,53;33,48;34,57;33,67;32,88;34,26;35,33;35,47
20002;Aduna;37,63;34,46;34,48;31,84;30,95;34,32;32,93;37,33;39,01;37,23;40,15;39,86
20016;Aia;35,93;39,25;38,46;39,69;41,13;42,13;41,80;42,51;46,12;44,16;45,99;49,58
20003;Aizarnazabal;41,37;44,49;41,51;42,18;41,79;40,61;41,18;43,53;48,35;45,49;47,41;45,21
48911;Ajangiz;19,20;18,55;17,07;17,36;17,80;17,70;19,82;20,18;23,48;24,32;23,64;24,30
20004;Albiztur;37,84;40,38;39,60;39,05;35,78;36,89;34,65;32,00;30,39;30,93;40,22;40,91
20005;Alegia;37,85;39,73;40,87;41,88;42,86;43,37;43,16;42,26;42,97;43,11;44,63;45,49
01001;Alegría-Dulantzi;36,87;38,02;36,72;38,61;37,97;37,20;36,24;36,56;36,22;38,50;37,93;37,50
20006;Alkiza;41,53;41,23;41,67;41,07;41,82;43,97;43,10;45,76;44,17;48,65;50,93;50,00
48912;Alonsotegi;31,87;31,86;32,00;32,33;33,26;34,32;34,38;33,04;34,06;34,54;34,26;34,41
20906;Altzaga;21,82;22,22;26,09;23,08;25,53;25,58;17,07;16,22;13,16;23,68;24,32;25,00
20007;Altzo;36,00;34,52;37,65;33,53;33,96;37,41;37,40;39,02;39,13;40,52;41,74;45,61
20008;Amezketa;46,92;48,55;50,15;51,20;50,77;49,37;50,97;51,89;47,23;50,66;50,33;51,13
48003;Amorebieta-Etxano;33,17;33,61;34,31;34,46;34,76;34,69;33,90;33,69;33,94;34,14;34,83;35,32
48004;Amoroto;37,69;40,00;40,17;35,65;41,74;45,79;47,75;46,30;45,54;46,74;48,89;47,00
01002;Amurrio;34,45;34,51;34,79;35,69;35,97;36,71;37,28;36,97;39,02;40,17;41,48;42,60
20009;Andoain;35,41;34,94;35,56;36,50;37,25;37,81;37,26;37,73;37,30;38,24;39,72;40,55
20010;Anoeta;41,74;41,52;41,36;42,38;43,27;42,22;42,63;45,32;44,21;43,75;43,31;43,28
20011;Antzuola;37,54;37,33;37,18;36,68;37,58;38,33;39,80;39,29;38,17;38,29;38,98;40,25
48005;Arakaldo;30,19;38,78;39,13;36,36;42,22;42,86;40,54;36,11;39,29;31,25;28,57;34,62
20012;Arama;32,86;37,88;39,68;37,10;40,62;41,94;41,38;38,60;38,18;43,86;43,86;41,07
01003;Aramaio;28,16;28,88;26,60;25,43;25,67;25,00;26,72;29,78;31,36;30,89;33,76;34,98
48006;Arantzazu;30,60;24,00;24,79;25,69;27,10;29,70;32,61;29,17;29,67;30,00;32,18;29,07
48093;Areatza;30,65;31,76;32,09;33,79;33,70;30,92;30,97;30,15;29,56;29,19;31,13;33,04
20013;Aretxabaleta;30,74;31,04;31,78;32,85;33,86;34,34;32,56;33,82;32,60;33,46;33,96;35,44
01006;Armiñón;42,05;46,84;45,07;47,83;50,75;50,79;44,68;34,09;39,58;39,58;46,67;42,50
01037;Arraia-Maeztu;48,80;56,70;52,78;53,23;54,02;56,14;50,29;50,29;49,44;49,11;49,72;52,20
48009;Arrankudiaga;22,16;23,44;25,08;23,91;25,65;24,22;24,64;24,44;24,30;25,21;26,79;28,69
20055;Arrasate/Mondragón;33,16;32,90;33,67;35,25;35,04;36,35;35,11;35,03;34,76;34,92;36,11;37,06
48914;Arratzu;22,41;22,73;22,22;24,77;24,77;26,17;25,96;25,74;25,77;25,00;26,80;27,45
01008;Arratzua-Ubarrundia;27,65;28,09;29,56;28,04;28,77;27,92;26,64;25,83;27,91;30,83;31,50;30,57
48010;Arrieta;19,19;20,86;21,43;22,10;22,35;21,26;23,81;24,56;25,00;24,66;26,49;22,93
48011;Arrigorriaga;25,69;26,01;26,52;27,13;26,84;27,28;26,87;26,85;26,23;26,40;27,85;28,75
48023;Artea;22,67;23,74;23,44;23,27;22,83;25,13;27,81;24,04;25,52;26,18;25,65;26,06
48008;Artzentales;28,72;34,71;35,43;34,24;35,29;36,96;34,48;29,52;31,29;31,17;34,19;31,76
01004;Artziniega;33,60;33,51;33,70;33,87;33,39;35,60;34,87;36,48;37,15;39,59;38,05;39,23
01009;Asparrena;46,31;46,91;45,55;47,70;49,59;48,30;49,79;50,73;51,84;53,33;53,20;52,16
20014;Asteasu;39,30;42,02;43,44;44,00;43,80;43,55;41,83;42,53;43,67;43,33;43,45;45,14
20903;Astigarraga;28,24;27,72;27,69;29,05;28,95;29,65;29,57;28,88;29,66;31,51;31,73;33,42
20015;Ataun;33,87;34,55;35,83;35,59;36,15;36,32;36,98;37,84;38,73;38,85;39,97;40,79
48091;Atxondo;45,49;46,59;45,14;46,97;47,08;47,88;46,49;45,38;44,25;44,97;44,04;45,91
48070;Aulesti;30,77;29,51;26,67;28,33;35,29;40,00;45,28;38,46;31,25;31,82;35,56;35,42
01010;Ayala/Aiara;36,09;37,89;36,89;37,55;38,53;39,30;38,30;39,70;42,06;42,67;44,28;45,45
20017;Azkoitia;35,35;35,97;36,19;37,12;37,76;39,73;39,24;40,39;39,62;40,80;41,61;42,65
20018;Azpeitia;34,30;34,53;35,34;35,97;36,12;36,33;36,08;36,47;36,28;37,55;38,13;39,94
01049;Añana;35,29;36,67;40,00;38,89;35,71;35,90;36,36;37,84;31,43;40,00;41,18;39,47
48012;Bakio;21,62;22,28;23,72;22,70;23,18;21,42;22,45;22,70;22,92;25,23;26,26;26,23
20904;Baliarrain;37,78;44,74;43,59;48,65;48,65;51,52;64,52;56,76;52,78;52,78;50,00;55,26
48090;Balmaseda;32,30;30,32;30,31;32,09;31,40;31,53;30,32;27,83;28,24;27,43;27,69;29,00
48013;Barakaldo;27,63;27,44;27,74;28,48;28,91;28,53;28,66;27,88;28,31;28,61;29,50;30,57
48014;Barrika;14,41;15,09;16,84;17,20;18,38;18,11;17,18;15,01;13,09;14,04;16,67;17,03
01013;Barrundia;24,62;28,46;29,13;29,06;28,27;27,31;29,91;30,67;27,85;31,22;32,21;33,03
48015;Basauri;31,41;31,61;31,37;31,91;32,50;32,71;32,98;32,58;32,55;33,59;34,68;35,75
01011;Baños de Ebro/Mañueta;20,83;16,67;14,29;20,00;20,00;15,62;13,33;13,04;7,69;10,71;5,88;1,73
20019;Beasain;35,61;36,47;36,35;37,45;38,91;38,84;38,85;38,53;39,42;40,81;41,14;42,10
48092;Bedia;30,30;29,74;29,51;29,94;27,64;28,53;29,08;26,67;28,52;28,91;31,58;33,12
20020;Beizama;23,91;26,19;17,50;15,00;16,22;17,95;27,03;18,18;23,68;20,00;28,12;46,88
20021;Belauntza;45,74;48,91;48,84;48,31;48,31;46,07;50,00;51,81;51,85;50,00;49,46;52,78
48016;Berango;16,82;17,33;16,95;17,13;17,54;18,99;19,15;17,63;17,49;19,07;20,42;21,37
01014;Berantevilla;41,45;36,11;33,33;38,68;38,38;39,81;36,46;37,23;38,46;40,86;43,27;40,00
20022;Berastegi;44,15;43,96;45,94;46,20;45,59;46,89;46,39;47,90;48,29;48,99;52,90;53,67
20074;Bergara;35,32;35,93;36,17;37,30;37,87;37,60;37,10;37,62;38,95;39,79;40,60;40,94
48017;Bermeo;25,88;25,91;25,68;26,49;26,94;27,34;27,96;28,41;28,22;28,91;28,65;29,07
01016;Bernedo;45,69;41,59;45,05;45,54;46,43;45,95;47,62;48,67;52,73;55,65;58,82;58,33
48018;Berriatua;32,46;32,01;31,50;32,12;31,68;34,60;35,37;34,73;34,29;36,36;36,30;39,31
48019;Berriz;39,96;40,11;41,33;41,74;43,00;43,13;43,46;42,04;42,76;43,60;44,17;44,96
20023;Berrobi;43,89;42,36;42,05;44,00;41,85;40,98;41,58;44,26;46,15;49,17;50,29;52,51
20024;Bidania-Goiatz;48,33;46,20;49,15;53,41;49,16;50,28;47,49;50,91;52,70;54,05;55,84;56,58
48020;Bilbao;20,68;20,57;20,24;20,92;20,85;20,76;20,80;20,60;20,66;20,85;21,34;22,24
48021;Busturia;23,79;23,62;22,79;22,57;24,83;23,53;22,30;25,98;28,28;29,38;30,39;28,94
01017;Campezo/Kanpezu;46,46;46,33;42,14;42,90;42,86;42,57;43,68;41,35;44,66;48,98;49,00;48,55
20029;Deba;34,00;33,85;34,20;34,83;34,46;34,79;35,88;35,93;37,11;38,55;39,38;39,22
48901;Derio;25,46;26,05;26,52;28,43;28,08;29,16;28,29;30,10;30,23;31,20;32,49;32,38
48026;Dima;23,91;21,80;22,02;25,78;24,67;27,80;27,86;29,75;27,11;29,30;29,33;30,28
20069;Donostia / San Sebastián;20,39;20,50;19,89;21,45;21,22;20,91;20,49;20,27;20,01;19,92;20,01;20,54
48027;Durango;29,90;30,51;31,04;32,24;32,64;32,49;32,70;32,10;32,38;31,92;32,89;33,53
48028;Ea;25,82;28,71;25,13;28,35;26,02;27,60;30,89;31,09;27,75;28,80;28,65;32,45
20030;Eibar;34,20;35,03;34,71;35,73;36,05;36,18;36,39;36,34;37,27;38,09;38,64;39,47
48031;Elantxobe;25,81;23,38;19,28;23,17;19,51;20,51;20,73;23,08;23,38;19,74;21,79;27,06
01021;Elburgo/Burgelu;31,75;31,28;25,00;27,22;25,27;30,41;27,03;26,49;28,49;30,49;30,06;28,57
01022;Elciego;31,00;33,17;34,65;31,80;35,32;35,10;33,65;35,00;35,47;34,69;32,73;24,67
20031;Elduain;43,69;45,74;43,02;42,71;42,17;43,68;47,13;45,98;48,10;48,10;50,62;45,24
20033;Elgeta;34,05;36,92;38,93;40,40;41,94;39,69;40,26;40,97;41,06;42,78;43,45;44,96
20032;Elgoibar;37,14;37,68;38,81;40,69;41,58;41,58;42,22;42,43;42,26;42,51;43,71;44,20
48032;Elorrio;36,99;38,16;39,25;39,84;40,69;40,97;41,25;40,55;41,50;42,03;43,01;43,35
01023;Elvillar/Bilar;25,64;17,31;19,23;20,75;17,65;16,98;24,53;21,74;25,42;31,25;23,64;19,40
48902;Erandio;28,95;28,40;28,70;29,48;30,22;30,46;30,59;30,70;30,99;32,11;32,30;33,93
48033;Ereño;21,88;20,00;19,30;22,41;28,57;31,67;32,79;26,32;25,00;22,58;27,27;23,94
48034;Ermua;45,58;46,10;45,83;46,85;47,66;48,70;48,60;48,67;50,03;51,48;52,41;52,97
20067;Errenteria;33,29;33,10;32,92;33,93;34,06;34,23;33,72;33,40;33,27;33,89;34,61;35,60
20066;Errezil;42,55;45,45;50,00;47,73;47,62;44,94;43,98;41,77;46,90;51,05;56,33;55,88
01046;Erriberagoitia/Ribera Alta;39,61;39,78;42,63;43,01;46,99;45,20;40,68;39,31;38,10;36,53;39,18;39,76
48079;Errigoiti;24,03;20,87;23,15;24,32;22,94;22,50;22,02;21,88;24,44;24,21;26,80;23,36
20034;Eskoriatza;39,13;39,36;41,27;43,04;42,49;43,55;44,13;44,82;42,56;44,90;45,05;46,85
48029;Etxebarri;28,44;29,39;29,12;28,83;28,73;29,65;30,11;29,60;29,45;31,00;32,22;32,96
48030;Etxebarria;33,94;36,10;36,34;37,53;37,11;33,51;36,46;37,61;37,90;39,88;40,11;42,08
20035;Ezkio-Itsaso;32,61;34,62;33,53;34,25;36,16;34,34;37,28;37,80;40,13;41,83;43,14;42,17
48906;Forua;24,92;24,30;24,47;25,00;23,81;24,91;26,25;28,46;28,90;26,38;28,73;32,28
48035;Fruiz;21,47;22,29;21,21;20,25;22,29;23,94;23,08;20,74;22,46;24,46;26,57;25,71
20038;Gabiria;32,43;30,88;31,85;30,94;34,97;32,85;38,35;34,35;34,09;31,67;33,65;37,86
20037;Gaintza;22,86;27,27;33,33;28,12;41,67;39,39;35,29;48,48;48,39;52,78;50,00;48,57
48036;Galdakao;27,32;27,93;27,80;28,47;28,75;28,61;28,68;28,30;28,29;28,65;29,48;30,73
48037;Galdames;36,13;32,54;34,12;32,38;31,86;35,15;37,70;33,89;34,48;36,72;37,22;37,97
48038;Gamiz-Fika;20,72;20,56;19,52;21,29;20,34;22,94;23,76;24,67;27,07;26,33;25,28;24,93
48039;Garai;29,70;26,97;26,97;28,89;28,41;34,12;30,86;29,11;30,43;26,87;26,87;27,14
48040;Gatika;21,53;22,01;22,52;23,90;23,90;22,30;22,50;23,11;22,77;25,21;25,37;26,10
48041;Gautegiz Arteaga;18,22;18,93;18,07;16,53;18,41;17,60;20,09;19,14;20,10;18,54;18,23;20,30
